property_id,neighborhood,year,total_assessed_value,property_area,number_of_bedrooms,number_of_bathrooms,building_age,latitude,longitude,pca_x,pca_y,tsne_x,tsne_y
70966,Ingleside Heights,2015,48012.0,1037.0,0,1.0,75.0,37.710884689,-122.466327731,1.9285262050159104,2.646907415734216,,
70967,Ingleside Heights,2021,301978.0,1065.0,0,2.0,72.0,37.717728547,-122.463133333,2.152963068200288,-0.8257098862184641,,
70968,Excelsior,2017,364582.0,1600.0,3,2.0,96.0,37.718486162,-122.430317343,1.1771456915372736,1.3629689125669446,,
70969,Inner Parkside,2016,78797.0,1895.0,0,1.0,96.0,37.745358455,-122.471899236,1.2292103670961811,2.108053309626247,,
70970,Potrero Hill,2016,329728.0,940.0,1,2.0,117.0,37.751092072,-122.40094533,-1.138071281702355,1.3778518464649785,-36.79276657104492,-34.52560806274414
70971,Pacific Heights,2022,89650.0,1507.0,2,2.0,95.0,37.794309955,-122.429610477,-1.1886084684866665,-2.1124760396057303,,
70972,Monterey Heights,2023,1448322.0,2323.0,0,4.0,86.0,37.734461653,-122.462529433,2.3100388881577865,-2.5111359758423255,,
70973,Outer Parkside,2017,600653.0,1500.0,0,2.0,82.0,37.742912655,-122.503955154,3.0298720992176826,1.705941724437628,,
70974,Mission Terrace,2017,766776.0,2873.0,4,3.0,87.0,37.72975069,-122.434150668,1.2513234651083018,0.8921741920945839,,
70975,Excelsior,2017,81129.0,850.0,0,1.0,76.0,37.730719079,-122.424875402,-0.05455013049931146,1.8696214626051764,,
70976,Ingleside Terrace,2015,152022.0,2666.0,0,2.0,73.0,37.722898491,-122.469988454,2.106962840572974,2.1561624888057755,,
70977,Corona Heights,2018,2169520.0,2277.0,2,3.0,61.0,37.762917874,-122.440032313,-0.2848134879285229,0.2558114875748071,,
70978,Lake Street,2015,129707.0,1710.0,0,2.0,113.0,37.786597267,-122.484878128,1.041412628670244,2.063966048701597,,
70979,Croker Amazon,2021,50496.0,1404.0,0,1.0,95.0,37.711540378,-122.444256883,1.5472837113998388,-0.4979188675003914,,
70980,Inner Mission,2023,416510.0,1622.0,2,2.0,20.0,37.764809969,-122.412705771,-1.5359458243981035,-2.696562343714944,,
70981,Inner Richmond,2023,2045904.0,1807.0,3,2.0,123.0,37.784776604,-122.459439555,0.8338521238696939,-2.6187871039566435,,
70982,Central Sunset,2016,331138.0,2075.0,0,2.0,86.0,37.757949741,-122.491450116,1.995984187028096,1.808090496089422,,
70983,Excelsior,2017,124348.0,1150.0,0,1.0,76.0,37.718928817,-122.430824372,0.5191653393258877,1.868295246506993,,
70984,Inner Mission,2019,743840.0,2418.0,6,2.0,123.0,37.749808452,-122.41302762,-0.29459714326998804,0.17495870499210062,,
70985,South Beach,2021,1350965.0,1237.0,2,2.0,17.0,37.779421839,-122.3967125,-2.088523047103313,-2.3517020738590397,,
70986,Ingleside Heights,2022,141167.0,1152.0,2,2.0,123.0,37.713373923,-122.465565654,2.7603955583096753,-1.3430677026293265,,
70987,Marina,2023,208200.0,2850.0,0,2.0,91.0,37.805459074,-122.437640312,-0.9014179427037905,-2.4031115559311695,,
70988,Bayview,2021,800528.0,1011.0,2,2.0,13.0,37.72505287,-122.395125585,-0.11104687249522348,-1.6405574388091286,,
70989,Ingleside,2022,1648906.0,1947.0,0,2.0,50.0,37.720907485,-122.452407273,1.784915281984824,-1.9494082083540154,,
70990,Financial District South,2018,1640000.0,1487.0,2,2.0,23.0,37.785745998,-122.397398264,-2.1787536475583815,0.07497316885861155,,
70991,Croker Amazon,2017,320983.0,908.0,0,1.0,99.0,37.714039328,-122.442020324,1.3104706424159538,1.8183063275281934,,
70992,Cole Valley/Parnassus Heights,2016,1260513.0,978.0,2,1.0,108.0,37.763849723,-122.448969275,-0.16616528741277473,1.2867397251640522,,
70993,Outer Richmond,2019,688496.0,1479.0,0,0.0,21.0,37.774751678,-122.510370125,1.8586270954267903,1.1531085839463904,,
70994,Telegraph Hill,2021,1242427.0,3440.0,0,4.0,115.0,37.803946592,-122.40962151,-1.026474275436225,-1.9770652230500518,,
70995,Westwood Park,2020,999594.0,1324.0,0,1.0,100.0,37.730348848,-122.457918924,1.4435823628089481,-0.7447456779879257,,
70996,Haight Ashbury,2015,69355.0,3499.0,4,2.0,125.0,37.76628042,-122.451447798,0.13910453376035226,1.867813242122342,,
70997,Potrero Hill,2019,1079539.0,865.0,0,1.0,96.0,37.756157762,-122.402056174,-1.5551559457920663,0.6704633540188403,,
70998,Outer Parkside,2016,927931.0,1488.0,5,3.0,71.0,37.738510841,-122.499492358,3.5231423785473903,1.2831374194442144,,
70999,Outer Parkside,2017,62060.0,1300.0,0,1.0,76.0,37.74040781,-122.50419594,2.7010451650585394,2.175042267642535,,
71000,Downtown,2020,1317369.0,1950.0,0,2.0,110.0,37.789080446,-122.420052855,-1.9585456585600007,-1.0726115103944598,,
71001,Parkside,2018,540310.0,1000.0,2,1.0,116.0,37.740613663,-122.483790718,2.2577875240999266,1.4270644126308507,,
71002,South Beach,2017,1567611.0,1309.0,2,2.0,15.0,37.786062535,-122.392176464,-2.2734618559056425,0.2028425014133851,,
71003,Inner Mission,2022,60862.0,2080.0,0,11.0,123.0,37.754971192,-122.411441438,0.1725863438819147,-2.3740048219052787,,
71004,Noe Valley,2020,1898862.0,3233.0,4,4.0,30.0,37.746004921,-122.432549431,0.48076148415272746,-2.1545581964567457,,
71005,Central Richmond,2023,549871.0,1621.0,4,3.0,31.0,37.782746453,-122.484182218,1.672362302311306,-2.670190568482187,23.006938934326172,-28.117082595825195
71006,Mission Terrace,2018,431186.0,1430.0,0,1.0,95.0,37.726404115,-122.440185295,0.7068684311258902,1.430386947840765,,
71007,Van Ness/ Civic Center,2017,772729.0,1500.0,2,2.0,57.0,37.784777592,-122.424122501,-2.1463111792616254,0.9268262793011741,-48.65409851074219,64.28826141357422
71008,Potrero Hill,2015,431678.0,1866.0,0,3.0,21.0,37.762920041,-122.388233796,-1.6691128500216061,1.2083649307771611,,
71009,Inner Mission,2016,81918.0,2976.0,0,2.0,99.0,37.753611703,-122.409526265,-1.2122802542249915,1.5823565489628246,-22.806015014648438,-9.156067848205566
71010,Outer Sunset,2021,194099.0,2475.0,0,3.0,94.0,37.75959819,-122.498013991,2.807956170504779,-0.9410554168872549,,
71011,Lower Pacific Heights,2017,315398.0,864.0,1,1.0,123.0,37.787077465,-122.443373141,-1.1712862884666115,1.2343531307427535,,
71012,Presidio Heights,2021,138526.0,2473.0,3,2.0,115.0,37.789218591,-122.44813762,-0.01919954486201667,-1.4384439319908382,2.905036687850952,-41.82363510131836
71013,Outer Sunset,2017,451768.0,1794.0,4,2.0,75.0,37.752513709,-122.50140201,2.9105458227692833,1.2969676837218584,,
71014,Bernal Heights,2016,510398.0,2750.0,4,4.0,117.0,37.746076327,-122.414024645,0.2944286408069362,0.5515890661630816,,
71015,Central Sunset,2016,708989.0,1655.0,0,1.0,92.0,37.758265417,-122.490397818,1.8132453064014094,1.821201655074442,,
71016,South Beach,2019,943500.0,824.0,1,1.0,15.0,37.789375968,-122.390971995,-2.614668868676923,0.07548929346438948,,
71017,Van Ness/ Civic Center,2015,479701.0,895.0,2,2.0,21.0,37.783520017,-122.421355952,-2.531312203784122,1.366413214522032,,
71018,Clarendon Heights,2016,84653.0,1817.0,0,0.0,84.0,37.757814457,-122.445994158,-0.6365212186441424,1.9797495984186828,,
71019,Bayview,2015,456950.0,930.0,0,1.0,119.0,37.728496373,-122.390485438,-0.3070256381872206,1.9915964988767039,,
71020,Croker Amazon,2018,250595.0,895.0,0,0.0,41.0,37.708768279,-122.451552289,1.2028971450862902,1.6703156285368397,,
71021,Visitacion Valley,2017,193822.0,1168.0,3,2.0,63.0,37.711154064,-122.42814944,1.1252337756475574,1.3985459164183132,,
71022,Van Ness/ Civic Center,2017,2161592.0,0.0,0,2.0,99.0,37.784584365,-122.42050617,-3.116092612819267,1.4942314645082486,,
71023,Forest Hill Extension,2022,593782.0,1190.0,0,1.0,83.0,37.743635043,-122.457236604,0.7450466273311768,-1.7150964205416628,23.24675178527832,0.08889522403478622
71024,Bayview Heights,2017,251488.0,1020.0,0,1.0,74.0,37.714623251,-122.400062936,0.1540755755357073,1.9335039058673933,,
71025,Sunnyside,2018,1387200.0,1365.0,0,1.0,74.0,37.7309448,-122.447851604,0.7079364975909783,1.190931928306065,,
71026,Noe Valley,2021,1547188.0,1600.0,3,2.0,115.0,37.752885017,-122.437209931,0.26100762531059923,-1.8020235494715062,1.789162278175354,-30.944032669067383
71027,Visitacion Valley,2021,361069.0,2283.0,4,3.0,37.0,37.715845748,-122.402767495,1.1202510636429528,-1.6535443530267846,,
